comuna,zona_prc,nombre_zona,categorias,zona_ds38,limite_dia,limite_noche,fundamento
Puente Alto,H1,H1 Zona de Residencial y Equipamiento,R+Eq+EP+AV,Zona II,60,45,"PRC Puente Alto H1 permite uso residencial y equipamiento; además vialidad y aguas lluvias, espacio público y áreas verdes. Para homologación SMA Res. Ex. N°491/2016 las redes o trazados de infraestructura no elevan la zona; corresponde R+Eq+EP+AV."
Puente Alto,H2,H2 Zona de Residencial y Equipamiento,R+Eq+EP+AV,Zona II,60,45,"PRC Puente Alto H2 permite uso residencial y equipamiento; además vialidad y aguas lluvias, espacio público y áreas verdes. Para homologación SMA Res. Ex. N°491/2016 las redes o trazados de infraestructura no elevan la zona; corresponde R+Eq+EP+AV."
Puente Alto,H3,H3 Zona de Residencial y Equipamiento,R+Eq+EP+AV,Zona II,60,45,"PRC Puente Alto H3 permite uso residencial y equipamiento; además vialidad y aguas lluvias, espacio público y áreas verdes. Para homologación SMA Res. Ex. N°491/2016 las redes o trazados de infraestructura no elevan la zona; corresponde R+Eq+EP+AV."
Puente Alto,H4,H4 Zona de Residencial y Equipamiento,R+Eq+EP+AV,Zona II,60,45,"PRC Puente Alto H4 permite uso residencial y equipamiento; además vialidad y aguas lluvias, espacio público y áreas verdes. Para homologación SMA Res. Ex. N°491/2016 las redes o trazados de infraestructura no elevan la zona; corresponde R+Eq+EP+AV."
Puente Alto,H5,H5 Zona de Residencial y Equipamiento,R+Eq+EP+AV,Zona II,60,45,"PRC Puente Alto H5 permite uso residencial y equipamiento; además vialidad y aguas lluvias, espacio público y áreas verdes. Para homologación SMA Res. Ex. N°491/2016 las redes o trazados de infraestructura no elevan la zona; corresponde R+Eq+EP+AV."
Puente Alto,H6,H6 Zona Residencial Actividades Industriales Inofensivas y Equipamiento,R+Eq+Inf+EP+AV,Zona III,65,50,"PRC Puente Alto H6 admite uso residencial, equipamiento y actividades productivas expresamente inofensivas. Conforme a la Res. Ex. SMA N°491/2016 las actividades productivas inofensivas se asimilan a Equipamiento. La capa territorial además informa infraestructura sin limitarla únicamente a redes o trazados; por ello se considera Inf y corresponde Zona III."
Puente Alto,HET1,HET1 Zona de Residencial y Equipamiento de Esparcimiento,R+Eq+Inf+EP+AV,Zona III,65,50,"PRC Puente Alto HET1 corresponde a uso residencial y equipamiento de esparcimiento. La capa territorial informa además infraestructura de transporte y sanitaria sin precisar que se trate exclusivamente de redes o trazados; conforme Res. Ex. SMA N°491/2016 se considera Inf, resultando Zona III."
Puente Alto,HE(m)1,HE(m)1 Zona Sub-Centro de Equipamiento de Nivel Intercomunal y/o Metropolitano,R+Eq+Inf+EP+AV,Zona III,65,50,"PRC Puente Alto HE(m)1 corresponde al subcentro de equipamiento intercomunal/metropolitano. La capa territorial permite residencial, equipamiento e infraestructura de transporte y sanitaria; al no restringirse esta última exclusivamente a redes o trazados, se considera Inf para homologación y corresponde Zona III."
Puente Alto,HE(m)2,HE(m)2 Zona de Residencial y Equipamiento,R+Eq+Inf+EP+AV,Zona III,65,50,"PRC Puente Alto HE(m)2 permite residencial y equipamiento e incluye infraestructura ferroviaria con estaciones y terminal de transporte terrestre local, además de espacio público y áreas verdes. Contiene instalaciones de infraestructura; corresponde Zona III."
Puente Alto,E(i)1,E(i)1 Zona de Equipamiento de Comercio,Eq+Inf+EP+AV,Zona III,65,50,"PRC Puente Alto E(i)1 permite equipamiento y contempla infraestructura vial, aguas lluvias y terminal de transporte terrestre local. El terminal constituye instalación de infraestructura; con Eq+Inf corresponde Zona III."
Puente Alto,E(i)2,E(i)2 Zona de Equipamiento de Esparcimiento Culto y Cultura,Eq+EP+AV,Zona II,60,45,"PRC Puente Alto E(i)2 permite equipamiento y únicamente infraestructura de vialidad y aguas lluvias en la tabla de usos. Conforme Res. Ex. SMA N°491/2016 las redes o trazados no se consideran infraestructura para homologación; corresponde Eq+EP+AV, Zona II."
